Módulo,Título_Módulo,Lección,Título_Lección,Duración_Minutos,Tipo_Contenido,Recursos_Incluidos
Módulo 1,Fundamentos de IA para Dentistas,Lección 1.1,¿Qué es la IA realmente? Desmitificando conceptos,15,Teoría + Ejemplos,"Infografía IA Dental, Checklist conceptos"
Módulo 1,Fundamentos de IA para Dentistas,Lección 1.2,Aplicaciones actuales de IA en odontología global,20,Casos de Estudio,"Template análisis casos, Base datos ejemplos"
Módulo 1,Fundamentos de IA para Dentistas,Lección 1.3,Mitos vs realidad: Lo que sí funciona hoy,18,Análisis Crítico,"Guía mitos vs realidad, Evaluación conocimientos"
Módulo 1,Fundamentos de IA para Dentistas,Lección 1.4,Primeros pasos: IA sin programar,22,Ejercicio Práctico,"Plantillas configuración, Lista herramientas"
Módulo 2,Chatbots para Consultorios,Lección 2.1,Configuración de tu primer chatbot dental,25,Tutorial Paso a Paso,"Template configuración chatbot, Scripts conversación"
Módulo 2,Chatbots para Consultorios,Lección 2.2,Respuestas automáticas inteligentes,30,Ejercicio Práctico,"Banco respuestas automáticas, Ejemplos personalizados"
Módulo 2,Chatbots para Consultorios,Lección 2.3,Integración con WhatsApp Business,28,Integración Técnica,"Guía integración WhatsApp, APIs conexión"
Módulo 2,Chatbots para Consultorios,Lección 2.4,Casos de éxito: Consultorios que ya lo usan,20,Casos de Éxito,"Videos testimoniales, Templates éxito"
Módulo 3,IA en Diagnóstico por Imágenes,Lección 3.1,Detección automática de caries en radiografías,20,Demo + Tutorial,"Software gratuito análisis, Casos radiográficos ejemplo"
Módulo 3,IA en Diagnóstico por Imágenes,Lección 3.2,Análisis de imágenes intraorales con IA,25,Ejercicio Práctico,"App móvil diagnóstico, Template reportes"
Módulo 3,IA en Diagnóstico por Imágenes,Lección 3.3,Herramientas gratuitas para diagnóstico,15,Comparativa Herramientas,"Lista herramientas gratis, Comparativa funcionalidades"
Módulo 3,IA en Diagnóstico por Imágenes,Lección 3.4,Taller práctico: Analizando casos reales,35,Taller Práctico,"Casos clínicos reales, Plantillas análisis"
Módulo 4,Predicción de Tratamientos,Lección 4.1,Introducción a modelos predictivos dentales,18,Conceptos + Ejemplos,"Introducción modelos predictivos, Calculadoras riesgo"
Módulo 4,Predicción de Tratamientos,Lección 4.2,IA para predicción de éxito en implantes,30,Casos Clínicos Reales,"Software predicción implantes, Casos clínicos"
Módulo 4,Predicción de Tratamientos,Lección 4.3,Planificación ortodóncica inteligente,25,Software Especializado,"Planificadores ortodóncicos, Simuladores"
Módulo 4,Predicción de Tratamientos,Lección 4.4,Cirugía guiada por IA,27,Planificación Quirúrgica,"Guías cirugía digital, Casos complejos"
Módulo 5,Automatización Administrativa,Lección 5.1,Gestión inteligente de citas y recordatorios,20,Configuración Práctica,"Configuradores citas automáticas, Templates recordatorios"
Módulo 5,Automatización Administrativa,Lección 5.2,Facturación automática y códigos de tratamiento,25,Automatización,"Sistemas facturación IA, Códigos automatizados"
Módulo 5,Automatización Administrativa,Lección 5.3,Seguimiento automatizado de pacientes,22,Flujos de Trabajo,"CRM automatizado, Flujos seguimiento"
Módulo 5,Automatización Administrativa,Lección 5.4,Reportes y analytics para toma de decisiones,18,Análisis de Datos,"Dashboards analytics, Templates reportes"
Módulo 6,IA en Comunicación con Pacientes,Lección 6.1,Educación personalizada del paciente,22,Personalización,"Generadores contenido educativo, Plantillas paciente"
Módulo 6,IA en Comunicación con Pacientes,Lección 6.2,Recordatorios inteligentes y oportunos,20,Automatización,"Sistemas recordatorios inteligentes, Calendarios automáticos"
Módulo 6,IA en Comunicación con Pacientes,Lección 6.3,Encuestas de satisfacción automatizadas,18,Feedback Loop,"Plataformas encuestas IA, Templates satisfacción"
Módulo 6,IA en Comunicación con Pacientes,Lección 6.4,Marketing dirigido basado en IA,25,Estrategias de Marketing,"Herramientas marketing IA, Casos segmentación"
Módulo 7,Herramientas Prácticas No-Code,Lección 7.1,ChatGPT para crear contenido dental,30,Herramientas Prácticas,"Prompts ChatGPT dentales, Templates contenido"
Módulo 7,Herramientas Prácticas No-Code,Lección 7.2,Plataformas no-code accesibles,25,Comparativa Plataformas,"Lista plataformas no-code, Comparativas precios"
Módulo 7,Herramientas Prácticas No-Code,Lección 7.3,Implementación paso a paso,35,Implementación Real,"Guías implementación paso a paso, Checklists"
Módulo 7,Herramientas Prácticas No-Code,Lección 7.4,Configuración y personalización básica,20,Personalización,"Configuradores personalizados, Templates setup"
Módulo 8,Implementación y Casos Reales,Lección 8.1,Desarrollando tu plan de implementación,25,Planificación Estratégica,"Template plan implementación, Cronogramas"
Módulo 8,Implementación y Casos Reales,Lección 8.2,Calculando ROI y beneficios esperados,20,Análisis Financiero,"Calculadora ROI dental, Métricas éxito"
Módulo 8,Implementación y Casos Reales,Lección 8.3,Casos de éxito: Antes y después,30,Testimonios,"Videos testimoniales, Estudios casos"
Módulo 8,Implementación y Casos Reales,Lección 8.4,Tu roadmap personal: Próximos pasos,15,Plan de Acción,"Plan acción personalizado, Recursos continuos"
